actor,movie,release,score
"主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",美国往事,上映时间：1984-02-17(美国),9.1
,,,
"主演：岛本须美,永井一郎,坂本千夏",风之谷,上映时间：1992,8.9
,,,
"主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",疯狂原始人,上映时间：2013-04-20,9.5
,,,
"主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿",当幸福来敲门,上映时间：2008-01-17,8.9
,,,
"主演：娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",V字仇杀队,上映时间：2006-03-17(美国),8.8
,,,
"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",十二怒汉,上映时间：1957-04-13(美国),9.1
,,,
"主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",放牛班的春天,上映时间：2004-10-16,8.8
,,,
"主演：仲代达矢,春川真澄,井川比佐志",忠犬八公物语,上映时间：1987-08-01(日本),9
,,,
"主演：亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",上帝之城,上映时间：2002-08-30(巴西),8.9
,,,
"主演：宋康昊,郭度沅,吴达洙",辩护人,上映时间：2013-12-18(韩国),8.8
,,,
"主演：三船敏郎,志村乔,千秋实",七武士,上映时间：1954-04-26(日本),9.1
,,,
"主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",致命魔术,上映时间：2006-10-20(美国),8.8
,,,
"主演：姜文,姜宏波,陈强",鬼子来了,上映时间：2000-05-12(法国戛纳),8.9
,,,
"主演：约翰·C·赖利,萨拉·西尔弗曼,简·林奇",无敌破坏王,上映时间：2012-11-06,9.1
,,,
"主演：罗素·克洛,詹妮弗·康纳利,艾德·哈里斯",美丽心灵,上映时间：2001-12-21(美国),8.8
,,,
"主演：克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",蝙蝠侠：黑暗骑士崛起,上映时间：2012-08-27,8.9
,,,
"主演：汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",夜访吸血鬼,上映时间：1994-11-11(美国),8.8
,,,
"主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",触不可及,上映时间：2011-11-02(法国),9.1
,,,
"主演：孔刘,郑有美,金智英",熔炉,上映时间：2011-09-22(韩国),8.8
,,,
"主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",初恋这件小事,上映时间：2012-06-05,8.8
,,,
"主演：周星驰,朱茵,莫文蔚",大话西游之大圣娶亲,上映时间：2014-10-24,8.8
,,,
"主演：寺田农,鹫尾真知子,龟山助清",天空之城,上映时间：1992,9.1
,,,
"主演：周星驰,莫文蔚,张柏芝",喜剧之王,上映时间：1999-02-13(中国香港),9.2
,,,
"主演：连姆·尼森,拉尔夫·费因斯,本·金斯利",辛德勒的名单,上映时间：1993-12-15(美国),9.2
,,,
"主演：邱岳峰,毕克,富润生",大闹天宫,上映时间：1965-12-31,9
,,,
"主演：朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",音乐之声,上映时间：1965-03-02(美国),9
,,,
"主演：菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",天堂电影院,上映时间：1988-11-17(意大利),9.2
,,,
"主演：葛优,巩俐,牛犇",活着,上映时间：1994-05-18(法国),9
,,,
"主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",拯救大兵瑞恩,上映时间：1998-07-24(美国),8.9
,,,
"主演：倍赏千惠子,木村拓哉,美轮明宏",哈尔的移动城堡,上映时间：2004-11-20(日本),9
,,,
"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",阿凡达,上映时间：2010-01-04,9.1
,,,
"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",盗梦空间,上映时间：2010-09-01,9.2
,,,
"主演：阿米尔·汗,黄渤,卡琳娜·卡普",三傻大闹宝莱坞,上映时间：2011-12-08,9.1
,,,
"主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",勇敢的心,上映时间：1995-05-24(美国),8.8
,,,
"主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯",黑客帝国3：矩阵革命,上映时间：2003-11-05,8.8
,,,
"主演：范·迪塞尔,保罗·沃克,道恩·强森",速度与激情5,上映时间：2011-05-12,9.2
,,,
"主演：张国荣,王祖贤,午马",倩女幽魂,上映时间：2011-04-30,9.2
,,,
"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",哈利·波特与死亡圣器（下）,上映时间：2011-08-04,9
,,,
"主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",本杰明·巴顿奇事,上映时间：2008-12-25(美国),8.8
,,,
"主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",钢琴家,上映时间：2002-09-25(法国),8.8
,,,
"主演：张曼玉,梁家辉,甄子丹",新龙门客栈,上映时间：2012-02-24,8.8
,,,
"主演：黎明,张曼玉,曾志伟",甜蜜蜜,上映时间：2015-02-13,9.2
,,,
"主演：默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",小鞋子,上映时间：1999-01-22(美国),9.1
,,,
"主演：李来,薛耿求,严志媛",素媛,上映时间：2013-10-02(韩国),9.1
,,,
"主演：内山昂辉,佐仓绫音,后藤弘树",萤火之森,上映时间：2011-09-17(日本),9
,,,
"主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",时空恋旅人,上映时间：2013-09-04(英国),8.9
,,,
"主演：约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",剪刀手爱德华,上映时间：1990-12-06(美国),8.8
,,,
"主演：张国荣,梁朝伟,张震",春光乍泄,上映时间：1997-05-30(中国香港),9.2
,,,
