author,comments,name,press,price,rank
加·泽文,1050443条评论,岛上书店（每个人的生命中，都有无比艰难的那一年，将人生变得美,江苏文艺出版社,¥27.70,49.
柳青,52328条评论,创业史（七年级下册自主阅读推荐）,中国青年出版社,¥23.90,62.
战国,75037条评论,鬼谷子—中华经典藏书,吉林美术出版社,¥28.00,63.
杨绛,1119420条评论,我们仨（新版）,生活.读书.新知三联书店,¥16.20,64.
东野圭吾,2028821条评论,东野圭吾：解忧杂货店（王俊凯、迪丽热巴主演，这家店帮你找回内,南海出版公司,¥27.30,65.
傅雷,47423条评论,傅雷家书（经典译林 精装本）,译林出版社,¥39.50,66.
怀特,527639条评论,夏洛的网（新）,上海译文出版社,¥16.50,14.
孙幼军,280820条评论,小猪唏哩呼噜(注音版上、下),春风文艺出版社,¥17.40,15.
郑利强,496911条评论,我的第一本地理启蒙书,新世界出版社,¥33.10,16.
路遥,895848条评论,平凡的世界：全三册（八年级下册自主阅读推荐）,北京十月文艺出版社,¥74.50,17.
钱钟书,643591条评论,围城,人民文学出版社,¥24.50,18.
哥伦,399787条评论,霍乱时期的爱情（2015版）  一本好书 腾讯视频栏目推荐,南海出版公司,¥34.20,151.
古斯塔夫·施瓦布,45086条评论,希腊神话故事（新课标，奥林匹斯诸神与英雄们的神话传奇，了解西,浙江工商大学出版社,¥16.10,152.
罗尔德·达尔,189965条评论,罗尔德·达尔作品典藏 查理和巧克力工厂,明天出版社,¥16.13,153.
朱光潜,28314条评论,给青年的十二封信（中学生定制版）部编教材八年级下推荐阅读书系,长江文艺出版社,¥20.20,154.
斯凯瑞,389436条评论,斯凯瑞金色童书·第一辑（全4册）,贵州人民出版社,¥59.20,155.
柴静,723977条评论,看见,广西师范大学出版社,¥21.90,156.
黑柳彻子,912475条评论,窗边的小豆豆(2018版),南海出版公司,¥29.60,21.
夏洛蒂勃朗特,113245条评论,简爱（浙大翻译家宋兆霖翻译，未删减全本。）九年级下册必读书目,作家出版社,¥20.60,87.
山姆·麦克布雷尼,478411条评论,信谊世界精选图画书·猜猜我有多爱你,明天出版社,¥33.63,88.
克莱儿·麦克福尔,1097202条评论,摆渡人（如果命运是一条孤独的河流，谁会是你灵魂的摆渡人？）,百花洲文艺出版社,¥18.00,89.
高春香,531407条评论,这就是二十四节气（中国二十四节气彩绘版，文津图书奖获奖绘本，,海豚出版社,¥73.40,90.
阿西莫夫,116691条评论,银河帝国：基地（被马斯克用火箭送上太空的科幻神作，讲述人类未,江苏文艺出版社,¥27.70,50.
张嘉佳,248488条评论,云边有个小卖部,湖南文艺出版社,¥21.00,51.
安托万·德·圣埃克苏佩里,925977条评论,小王子（畅销300万册，作者基金会官方认证简体中文版）【果麦经典,天津人民出版社,¥16.00,52.
陈果,131630条评论,复旦名师陈果：好的爱情（陈果的爱情哲学课，用哲学的方式告诉你,人民日报出版社,¥30.80,53.
尤瓦尔·赫拉利,413217条评论,见识城邦·人类简史：从动物到上帝（新版）  一本好书 腾讯视频栏,中信出版社,¥42.80,54.
林清玄,60729条评论,愿你，归来仍是少年（林清玄启悟人生系列）,长江文艺出版社,¥19.70,55.
吴敬梓,124420条评论,儒林外史(56回全本，内容考证、文字句读全新修订版。),花山文艺出版社,¥17.30,67.
盖温·肯尼迪,47983条评论,谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,民主与建设出版社,¥29.70,68.
龙应台,524087条评论,目送：龙应台“人生三书”之三（彩插新版）,广西师范大学出版社,¥25.80,69.
丹尼尔·笛福,44278条评论,鲁滨孙漂流记(新课标，鲁滨逊漂流记，据英文原版全译本),浙江工商大学出版社,¥18.80,70.
亚历山德拉·米热林斯卡,634382条评论,地图 人文版（升级版）手绘世界地图 儿童百科绘本,贵州人民出版社,¥119.40,71.
雷蒙德·钱德勒,36904条评论,漫长的告别（怪不得村上春树读了12遍！每每陷入困境，村上春树便,海南出版社,¥51.80,19.
儒勒·凡尔纳,89710条评论,海底两万里（新课标）,浙江工商大学出版社,¥16.80,20.
艾克拜尔,161276条评论,阿凡提经典故事系列丛书（全4册）,新疆青少年出版社,¥48.50,157.
钱穆,107345条评论,中国历代政治得失 钱穆（新校本）,九州出版社,¥12.30,158.
露西·蒙哥马利,52779条评论,绿山墙的安妮（新课标，哈利·波特系列译者马爱农译）,浙江工商大学出版社,¥18.80,159.
达芙妮·斯金纳,167868条评论,数学帮帮忙（全25册）多功能数学绘本,新蕾出版社,¥142.20,22.
高士其,44323条评论,细菌世界历险记（中小学语文新课标必读名著 ）菌儿自传 高士其科,人民邮电出版社,¥14.80,23.
陈果,42561条评论,懂你（复旦名师陈果作品！）,山东画报出版社,¥16.10,24.
凯勒,122838条评论,假如给我三天光明（新课标，名家翻译，非改写&非编译本，海伦·凯,安徽教育出版社,¥12.10,91.
莱曼·弗兰克·鲍姆,103716条评论,百年童话绘本·典藏版（全套30册）当当2018年度常青藤畅销书奖，,北京联合出版公司,¥306.40,92.
高铭,1053045条评论,天才在左 疯子在右(2018全新完整版),北京联合出版有限公司,¥34.70,93.
刘慈欣,9604条评论,流浪地球,中国华侨出版社,¥19.00,94.
傅雷,76270条评论,傅雷家书(学生读本),译林出版社,¥24.10,56.
李思圆,311697条评论,生活需要仪式感 （把温暖和感动带给你在乎的人）,山东文艺出版社,¥21.20,57.
张天翼,32295条评论,大林和小林（新课标全本，荣获豆瓣8.9高评分的经典童话，被誉为中,浙江工商大学出版社,¥12.40,58.
张文成,79532条评论,墨菲定律,古吴轩出版社,¥21.90,59.
李渔,185638条评论,笠翁对韵 中华经典儿童启蒙  注音+注释+典故 每日诵读十分钟 打好,中国文史出版社,¥13.10,72.
刘慈欣,5727条评论,流浪地球（又名流浪的地球，刘慈欣作品，根据本书改编的同名电影,浙江教育出版社,¥16.00,73.
曹文轩,248173条评论,曹文轩文集典藏版（全7册）,天天出版社有限责任公司,¥116.80,74.
英格丽,89527条评论,多莱尔的希腊神话书（畅销千万册，纽约公共图书馆“百年百佳书”,江苏教育出版社,¥44.00,75.
古斯塔夫·勒庞,109082条评论,乌合之众 : 大众心理研究,民主与建设出版社,¥17.40,76.
林格伦,118446条评论,林格伦儿童文学作品集·典藏版——长袜子皮皮,中国少年儿童出版社,¥18.20,77.
姜自霞,178213条评论,魔法拼音国（套装 共7册）,浙江少年儿童出版社,¥61.90,160.
奥斯特洛夫斯基,56111条评论,钢铁是怎样炼成的（新课标）非改写，更适合青少年阅读，越是艰苦,浙江工商大学出版社,¥17.40,25.
野口哲典,63651条评论,数学原来可以这样学（畅销日本300万册，小学生家长必备。让孩子爱,湖南人民出版社,¥26.50,26.
毛姆,288630条评论,月亮和六便士（全新导读无删节详注版！ 半年创当当110000名读者五,时代文艺出版社,¥17.80,27.
史蒂夫,153728条评论,养育男孩（典藏版）,中信出版社,¥24.00,95.
姜戎,269890条评论,狼图腾(修订版)（一部描绘、研究蒙古草原狼的“旷世奇书”）（1-,长江文艺出版社,¥31.40,96.
菲比·吉尔曼,285658条评论,信谊世界精选图画书·爷爷一定有办法,明天出版社,¥33.63,97.
慕颜歌,328575条评论,你的善良必须有点锋芒,古吴轩出版社,¥21.90,98.
佟洵,8646条评论,国家宝藏 100件文物讲述中华文明史,四川人民出版社,¥49.90,60.
林清玄,14938条评论,林清玄散文精选（套装两册）,作家出版社,¥56.00,78.
罗贯中,93383条评论,三国演义（上 下 ）（全二册）（1-9年级必读书单）,人民文学出版社,¥39.50,79.
吴承恩,126141条评论,西游记原著版（上、下册）七年级上册必读（1-9年级必读书单）,人民文学出版社,¥47.20,80.
