书名,链接,作者,出版社,出版日期,价格,星级,评论数
常识,https://book.douban.com/subject/3344676/,梁文道 , 广西师范大学出版社 , 2009-1 , 38.00,8.1,"(
                    38329人评价
                )"
寻路中国,https://book.douban.com/subject/5414391/,[美] 彼得·海斯勒 , 上海译文出版社 , 2011-1 , 33.00元,9.0,"(
                    34160人评价
                )"
哭泣的骆驼,https://book.douban.com/subject/1029111/,三毛 , 哈尔滨出版社 , 2003-6 , 15.80元,8.9,"(
                    34218人评价
                )"
你好，旧时光（上 下）,https://book.douban.com/subject/4166819/,八月长安 , 新世界出版社 , 2009-12 , 39.80元,8.8,"(
                    34545人评价
                )"
菊与刀,https://book.douban.com/subject/1022238/,（美）鲁思・本尼迪克特 , 商务印书馆 , 1990-6 , 16.00,8.2,"(
                    37864人评价
                )"
那些回不去的年少时光,https://book.douban.com/subject/4231381/,桐华 , 江苏文艺出版社 , 2010-01 , 23.80元,8.5,"(
                    35433人评价
                )"
金锁记,https://book.douban.com/subject/3017857/,张爱玲 , 哈尔滨出版社 , 2005-6 , 13.5元,8.5,"(
                    35519人评价
                )"
时间旅行者的妻子,https://book.douban.com/subject/2056749/,[美] 奥德丽·尼芬格 , 人民文学出版社 , 2007-4 , 29.90元,8.1,"(
                    37396人评价
                )"
杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李 , 译林出版社 , 2012-9 , 32.00元,9.2,"(
                    32317人评价
                )"
查令十字街84号,https://book.douban.com/subject/1316648/,[美] 海莲·汉芙 , 译林出版社 , 2005-05-01 , 18.00元,8.3,"(
                    36011人评价
                )"
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,[法] 雨果 , 人民文学出版社 , 1992-6 , 66.00元,8.9,"(
                    32787人评价
                )"
球状闪电,https://book.douban.com/subject/1192090/,刘慈欣 , 四川科学技术出版社 , 2005-6 , 22.00元,8.7,"(
                    34168人评价
                )"
海贼王,https://book.douban.com/subject/1474773/,尾田荣一郎 , 浙江人民美术出版社 , 2007-11 , 7.50元,9.5,"(
                    30199人评价
                )"
失恋33天,https://book.douban.com/subject/4238754/,鲍鲸鲸 , 中信出版社 , 2010-1 , 25.00元,8.1,"(
                    36274人评价
                )"
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,[美] 沃尔特·艾萨克森 , 中信出版社 , 2011-10-24 , 68.00元,8.7,"(
                    33206人评价
                )"
鹿鼎记（全五册）,https://book.douban.com/subject/1212893/,金庸 , 广州出版社 花城出版社 , 2008-3 , 108.00元,8.8,"(
                    32658人评价
                )"
东霓,https://book.douban.com/subject/4874131/,笛安 , 长江文艺出版社 , 2010-7-1 , 26.80元,8.1,"(
                    35126人评价
                )"
飞鸟集,https://book.douban.com/subject/1058661/,[印] 罗宾德拉纳德·泰戈尔 , 哈尔滨出版社 , 2004-6 , 16.80元,8.9,"(
                    31954人评价
                )"
长恨歌,https://book.douban.com/subject/1082349/,王安忆 , 南海出版公司 , 2003-8 , 22.00元,8.2,"(
                    34683人评价
                )"
海底两万里,https://book.douban.com/subject/1085470/,[法国] 儒尔·凡尔纳 , 译林出版社 , 2002-9 , 19.50元,8.4,"(
                    33698人评价
                )"
历史深处的忧虑,https://book.douban.com/subject/1027191/,林达 , 生活·读书·新知三联书店 , 1997-5 , 19.00元,9.0,"(
                    30695人评价
                )"
你一定爱读的极简欧洲史,https://book.douban.com/subject/5366248/,约翰·赫斯特（John Hirst） , 广西师范大学出版社 , 2011-11-25 , 25.00元,8.2,"(
                    34055人评价
                )"
富爸爸，穷爸爸,https://book.douban.com/subject/1033778/,（美）罗伯特・T・清崎 , 世界图书出版公司 , 2000-09 , 18.80,8.2,"(
                    33394人评价
                )"
倚天屠龙记(共四册),https://book.douban.com/subject/1070851/,金庸 , 三联书店 , 1999-04 , 0,8.5,"(
                    31753人评价
                )"
大地之灯,https://book.douban.com/subject/1963310/,七堇年 , 长江文艺出版社 , 2007-1 , 22.00元,8.2,"(
                    33148人评价
                )"
你今天真好看,https://book.douban.com/subject/26602392/,[美]莉兹•克里莫 ,天津人民出版社 , 2015-8 , 39.00元,8.7,"(
                    31278人评价
                )"
伊豆的舞女,https://book.douban.com/subject/1005521/,[日] 川端康成 , 广西师范大学出版社 , 2002-2 , 23.80元,8.2,"(
                    33226人评价
                )"
水浒传（全二册）,https://book.douban.com/subject/1008357/,[明] 施耐庵 , 人民文学出版社 , 1997-1 , 50.60元,8.5,"(
                    31217人评价
                )"
雷雨,https://book.douban.com/subject/1013416/,曹禺 , 人民文学出版社 , 1999-05 , 9.20,8.6,"(
                    31261人评价
                )"
时间简史,https://book.douban.com/subject/1034282/,[英] 史蒂芬·霍金 , 湖南科学技术出版社 , 2010-4 , 45.00元,8.8,"(
                    29823人评价
                )"
一九八四·动物农场,https://book.douban.com/subject/1082387/,[英] 乔治·奥威尔 , 上海译文出版社 , 2003-4 , 23.00元,9.3,"(
                    28078人评价
                )"
西游记（全二册）,https://book.douban.com/subject/1029553/,吴承恩 , 人民文学出版社 , 2004-8 , 47.20元,8.8,"(
                    29464人评价
                )"
中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆 , 生活·读书·新知三联书店 , 2001 , 12.00元,9.1,"(
                    28221人评价
                )"
香水,https://book.douban.com/subject/1292416/,[德] 帕·聚斯金德 , 上海译文出版社 , 2005-5 , 20.00元,8.5,"(
                    30435人评价
                )"
橙,https://book.douban.com/subject/5327697/,安东尼 , 长江文艺出版社 , 2010-10 , 28.80元,8.2,"(
                    31535人评价
                )"
红与黑,https://book.douban.com/subject/1007433/,斯丹达尔 , 译林出版社 , 1993-7-1 , 20.00元,8.2,"(
                    31743人评价
                )"
看不见的城市,https://book.douban.com/subject/1863930/,[意大利]伊塔洛·卡尔维诺 , 译林出版社 , 2006-8 , 16.00元,8.8,"(
                    29181人评价
                )"
瓦尔登湖,https://book.douban.com/subject/1865089/,[美] 梭罗 , 上海译文出版社 , 2006-8 , 11.00元,8.4,"(
                    30754人评价
                )"
最好的我们,https://book.douban.com/subject/24754316/,八月长安 , 湖南文艺出版社 , 2013-8-5 , 55,8.8,"(
                    28644人评价
                )"
匆匆那年（上下）,https://book.douban.com/subject/2567919/,九夜茴 , 东方出版社 , 2008-1 , 29.00,8.3,"(
                    31219人评价
                )"
影响力,https://book.douban.com/subject/1786387/,[美] 罗伯特·西奥迪尼 , 中国人民大学出版社 , 2006-5 , 45.00元,8.6,"(
                    29557人评价
                )"
狂人日记,https://book.douban.com/subject/1398395/,鲁迅 , 京华出版社 , 2006-3 , 39.80元,8.7,"(
                    29058人评价
                )"
世界尽头与冷酷仙境,https://book.douban.com/subject/1291809/,[日] 村上春树 , 上海译文出版社 , 2002-12 , 23.00元,8.6,"(
                    29726人评价
                )"
江城,https://book.douban.com/subject/7060185/,[美] 彼得·海斯勒 , 上海译文出版社 , 2012-1 , 36.00元,9.0,"(
                    27718人评价
                )"
陆犯焉识,https://book.douban.com/subject/6880158/,严歌苓 , 作家出版社 , 2011-10 , 35.00元,8.8,"(
                    28215人评价
                )"
冰与火之歌（卷一）,https://book.douban.com/subject/1336330/,[美] 乔治·R. R. 马丁 , 重庆出版社 , 2005-5 , 68.00元,9.3,"(
                    26551人评价
                )"
把时间当作朋友,https://book.douban.com/subject/3609132/,李笑来 , 电子工业出版社 , 2009-6 , 32.00元,8.5,"(
                    29624人评价
                )"
那些年，我们一起追的女孩,https://book.douban.com/subject/1958227/,九把刀 , 花山文艺出版社 , 2007-1 , 20.00元,8.2,"(
                    30320人评价
                )"
夏洛的网,https://book.douban.com/subject/1036274/,[美] E.B.怀特 , 上海译文出版社 , 2004-5 , 17.00元,8.5,"(
                    28720人评价
                )"
往事并不如烟,https://book.douban.com/subject/1059336/,章诒和 , 人民文学出版社 , 2004-1 , 35.00元,8.6,"(
                    28074人评价
                )"
我与地坛,https://book.douban.com/subject/1209899/,史铁生 , 春风文艺出版社 , 2002-5 , 25.00元,9.0,"(
                    26747人评价
                )"
呼兰河传,https://book.douban.com/subject/1060852/,萧红 , 百花文艺出版社 , 2005-01 , 19.00,8.9,"(
                    27424人评价
                )"
阿狸·梦之城堡,https://book.douban.com/subject/3554154/,hans , 上海锦绣文章出版社 , 2009-1 , 36.80元,9.0,"(
                    26683人评价
                )"
七夜雪,https://book.douban.com/subject/1919201/,沧月 , 北京十月文艺出版社 , 2006-10 , 25.00元,8.4,"(
                    28203人评价
                )"
自控力,https://book.douban.com/subject/10786473/,[美]  凯利·麦格尼格尔 , 文化发展出版社(原印刷工业出版社) , 2012-8 , 39.80元,8.3,"(
                    29148人评价
                )"
天使与魔鬼,https://book.douban.com/subject/1228110/,[美] 丹.布朗 , 人民文学出版社 , 2005-2 , 29.80元,8.1,"(
                    29250人评价
                )"
ZOO,https://book.douban.com/subject/2297697/,[日] 乙一 , 当代世界出版社 , 2007-10 , 20.00元,8.6,"(
                    27583人评价
                )"
